ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,I ask if u meeting da ge tmr nite...
ham,Gr8. So how do you handle the victoria island traffic. Plus when's the album due
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx
ham,East coast
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,Nope. I just forgot. Will show next week
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,I dont know oh. Hopefully this month.
ham,"Hi elaine, is today's meeting confirmed?"
ham,Ok k..sry i knw 2 siva..tats y i askd..
ham,"Sorry, I'll call later"
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
ham,Otherwise had part time job na-tuition..
ham,Oh yeah! And my diet just flew out the window
ham,You didnt complete your gist oh.
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can"
ham,"If you can make it any time tonight or whenever you can it's cool, just text me whenever you're around"
ham,If I was I wasn't paying attention
ham,Thanx a lot 4 ur help!
ham,You're gonna have to be way more specific than that
ham,Jesus armand really is trying to tell everybody he can find
ham,I'm wif him now buying tix lar...
ham,Mode men or have you left.
ham,Am slow in using biola's fne
ham,"\What are youdoing later? Sar xxx\"""""
ham,Hey i've booked the 2 lessons on sun liao...
ham,Thank you. do you generally date the brothas?
ham,"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x"
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,"And that's fine, I got enough bud to last most of the night at least"
ham,I am back. Good journey! Let me know if you need any of the receipts. Shall i tell you like the pendent?
ham,So that takes away some money worries
ham,"aight we can pick some up, you open before tonight?"
ham,Sac needs to carry on:)
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,What???? Hello wats talks email address?
ham,Except theres a chick with huge boobs.
ham,Im just wondering what your doing right now?
ham,Wishing you a beautiful day. Each moment revealing even more things to keep you smiling. Do enjoy it.
ham,Arun can u transfr me d amt
ham,"Sorry, I'll call later"
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
ham,Ok i thk i got it. Then u wan me 2 come now or wat?
ham,U GOIN OUT 2NITE?
ham,I will treasure every moment we spend together...
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! I???ll bring one anyway
ham,Ok lor.
